epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1262,2.32473,4.11535,1.87865,0.02125,0.1849,0.05484,0.02462,1.84898,3.9575,1.49848,2.499e-05,2.499e-05,2.499e-05
2,87.6261,1.86358,3.94989,1.51155,0.03868,0.19401,0.10371,0.05629,1.47407,3.90893,1.33083,5.25373e-05,5.25373e-05,5.25373e-05
3,118.629,1.89872,3.8786,1.49696,0.0734,0.22135,0.14459,0.09463,1.14134,3.82746,1.19478,7.34873e-05,7.34873e-05,7.34873e-05
4,149.731,1.52108,3.38827,1.38723,0.07442,0.2474,0.16888,0.11099,1.10975,3.75943,1.16475,8.78398e-05,8.78398e-05,8.78398e-05
5,178.111,1.31745,2.96181,1.24033,0.07055,0.25521,0.17323,0.11063,1.12437,3.73172,1.17087,9.55951e-05,9.55951e-05,9.55951e-05
6,209.944,1.4725,2.728,1.30379,0.06246,0.2513,0.17521,0.10874,1.1011,3.68653,1.17391,9.67529e-05,9.67529e-05,9.67529e-05
7,239.558,1.30404,2.47227,1.22722,0.0566,0.25911,0.16659,0.10153,1.0957,3.59277,1.17771,9.13135e-05,9.13135e-05,9.13135e-05
8,274.264,1.37378,2.23894,1.28398,0.05329,0.26042,0.16927,0.10749,1.07357,3.46493,1.14668,7.92766e-05,7.92766e-05,7.92766e-05
9,312.492,1.32008,2.07978,1.24217,0.0528,0.25391,0.1765,0.11488,1.05568,3.33769,1.13499,6.06424e-05,6.06424e-05,6.06424e-05
10,353.044,1.29501,1.86518,1.24054,0.0561,0.26823,0.18087,0.11937,1.04176,3.24822,1.12251,3.54108e-05,3.54108e-05,3.54108e-05
