epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1389,2.01766,4.12087,1.53251,0.01845,0.33333,0.03936,0.01954,2.35551,5.31011,1.46482,0,0,0
2,45.0616,1.99482,4.02221,1.4533,0.39568,0.33333,0.06671,0.03324,2.38531,5.12517,1.46609,1.40071e-05,1.40071e-05,1.40071e-05
3,60.262,1.88409,3.83303,1.49052,0.59375,0.25,0.31539,0.15754,2.38115,4.43592,1.42062,2.74482e-05,2.74482e-05,2.74482e-05
4,78.2916,1.92897,3.05992,1.45445,0.65702,0.33333,0.34414,0.17483,2.20238,3.28212,1.31389,4.03235e-05,4.03235e-05,4.03235e-05
5,95.6182,1.83362,2.45347,1.41415,0.99574,0.33333,0.39233,0.20935,2.15412,2.53627,1.3024,5.26329e-05,5.26329e-05,5.26329e-05
6,110.008,1.80147,1.9403,1.40524,0.45646,0.41667,0.55024,0.31892,2.11879,2.29356,1.28712,6.43764e-05,6.43764e-05,6.43764e-05
7,126.522,1.53933,2.29634,1.31091,0.49359,0.50168,0.61333,0.363,2.05643,2.1886,1.25415,7.55541e-05,7.55541e-05,7.55541e-05
8,142.657,1.39118,1.87585,1.21543,0.93837,0.56429,0.66333,0.398,2.05006,2.16929,1.24196,8.61658e-05,8.61658e-05,8.61658e-05
9,160.918,1.43127,1.77482,1.29456,0.56532,0.58333,0.63556,0.41172,1.97639,2.17998,1.21257,9.62117e-05,9.62117e-05,9.62117e-05
10,183.848,1.29124,1.49509,1.20711,0.56494,0.58333,0.59449,0.40926,1.88221,2.18195,1.19812,0.000105692,0.000105692,0.000105692
11,204.056,1.2949,1.42218,1.09692,0.50039,0.52644,0.52718,0.35794,1.79367,2.15513,1.1898,0.000114606,0.000114606,0.000114606
12,227.885,1.22041,1.47081,1.12718,0.55578,0.58333,0.64905,0.48298,1.73568,2.10606,1.16686,0.000122954,0.000122954,0.000122954
13,247.918,1.19555,1.183,1.04235,0.61459,0.66144,0.66692,0.49844,1.68446,2.03922,1.14752,0.000130736,0.000130736,0.000130736
14,265.869,1.01043,1.1622,1.03104,0.61637,0.66321,0.6694,0.46028,1.63264,1.99037,1.12927,0.000137953,0.000137953,0.000137953
15,284.085,0.9718,1.10688,1.09797,0.62909,0.56076,0.64429,0.40932,1.56973,1.92206,1.13114,0.000144603,0.000144603,0.000144603
16,303.208,0.94988,1.06617,1.06658,0.62976,0.66667,0.67191,0.45931,1.40145,1.70309,1.13107,0.000150688,0.000150688,0.000150688
17,328.002,0.95626,1.00277,1.01972,0.98635,0.66667,0.66804,0.49107,1.31954,1.45894,1.08531,0.000156207,0.000156207,0.000156207
18,346.892,1.1366,1.22214,1.1393,0.98635,0.66667,0.66804,0.49107,1.31954,1.45894,1.08531,0.00016116,0.00016116,0.00016116
19,362.812,0.94826,1.01348,1.01791,0.99288,0.66667,0.66515,0.49841,1.30008,1.30794,1.05132,0.000165547,0.000165547,0.000165547
20,378.458,0.68154,0.8246,0.93784,0.99288,0.66667,0.66515,0.49841,1.30008,1.30794,1.05132,0.000169368,0.000169368,0.000169368
21,393.902,0.91204,0.94565,0.97802,0.99298,0.66667,0.66469,0.48987,1.33555,1.58127,1.06013,0.000172623,0.000172623,0.000172623
22,409.48,0.79637,0.94164,0.94611,0.99298,0.66667,0.66469,0.48987,1.33555,1.58127,1.06013,0.000175313,0.000175313,0.000175313
23,424.62,0.73883,0.85498,0.92613,0.99252,0.66667,0.66802,0.49079,1.30632,1.76371,1.04379,0.000177436,0.000177436,0.000177436
24,441.077,0.73232,0.75671,0.90018,0.99252,0.66667,0.66802,0.49079,1.30632,1.76371,1.04379,0.000178994,0.000178994,0.000178994
25,457.611,0.72816,0.82644,0.95037,0.99096,0.66667,0.67248,0.48007,1.25109,1.48173,1.01738,0.000179985,0.000179985,0.000179985
26,474.558,0.69149,0.67677,0.91244,0.99096,0.66667,0.67248,0.48007,1.25109,1.48173,1.01738,0.000180411,0.000180411,0.000180411
27,491.789,0.63897,0.71162,0.95479,0.66184,0.75,0.79563,0.52524,1.17639,1.20699,0.98037,0.000180271,0.000180271,0.000180271
28,508.295,0.64217,0.67696,0.88509,0.66184,0.75,0.79563,0.52524,1.17639,1.20699,0.98037,0.000179565,0.000179565,0.000179565
29,525.417,0.69053,0.75333,0.8834,0.78531,0.91667,0.87736,0.58957,1.15811,1.19225,0.94996,0.000178293,0.000178293,0.000178293
30,540.877,0.62828,0.67536,0.87408,0.78531,0.91667,0.87736,0.58957,1.15811,1.19225,0.94996,0.000176456,0.000176456,0.000176456
31,558.154,0.64026,0.71493,0.88962,0.89793,0.99046,0.995,0.7309,0.92707,0.8749,0.8647,0.000174052,0.000174052,0.000174052
32,575.833,0.58079,0.60249,0.85515,0.89793,0.99046,0.995,0.7309,0.92707,0.8749,0.8647,0.000171083,0.000171083,0.000171083
33,593.096,0.6191,0.69801,0.92113,0.94644,1,0.995,0.80419,0.67052,0.70182,0.79947,0.000167547,0.000167547,0.000167547
34,609.449,0.52689,0.61264,0.8901,0.94644,1,0.995,0.80419,0.67052,0.70182,0.79947,0.000163446,0.000163446,0.000163446
35,627.543,0.60427,0.62482,0.86925,0.97141,1,0.995,0.85401,0.5557,0.64525,0.77021,0.000158779,0.000158779,0.000158779
36,645.17,0.54833,0.66051,0.93187,0.97141,1,0.995,0.85401,0.5557,0.64525,0.77021,0.000153546,0.000153546,0.000153546
37,663.955,0.56433,0.6313,0.81816,0.97828,1,0.995,0.8602,0.53521,0.65463,0.7608,0.000147747,0.000147747,0.000147747
38,680.942,0.47626,0.53858,0.84165,0.97828,1,0.995,0.8602,0.53521,0.65463,0.7608,0.000141382,0.000141382,0.000141382
39,698.31,0.61096,0.6518,0.92191,0.97437,1,0.995,0.91205,0.50618,0.61205,0.75499,0.000134452,0.000134452,0.000134452
40,714.769,0.51133,0.57717,0.86142,0.97437,1,0.995,0.91205,0.50618,0.61205,0.75499,0.000126955,0.000126955,0.000126955
41,731.489,0.45207,0.58787,0.81174,0.98256,1,0.995,0.93277,0.45265,0.58851,0.73934,0.000118893,0.000118893,0.000118893
42,747.253,0.48155,0.54553,0.89913,0.98256,1,0.995,0.93277,0.45265,0.58851,0.73934,0.000110264,0.000110264,0.000110264
43,761.677,0.44332,0.57204,0.87536,0.98667,1,0.995,0.92867,0.40195,0.58438,0.72559,0.00010107,0.00010107,0.00010107
44,775.847,0.44839,0.53219,0.83157,0.98667,1,0.995,0.92867,0.40195,0.58438,0.72559,9.13102e-05,9.13102e-05,9.13102e-05
